Date,Department,Admissions,Emergency_Cases,ICU_Beds_Total,ICU_Beds_Occupied,General_Beds_Total,General_Beds_Occupied,Doctors_On_Duty,Nurses_On_Duty,Ambulances_Available,Staff_Required,Bed_Occupancy_Percentage
2022-11-04,Cardiology,33,10,50,12,250,80,5,16,6,21,30.67
2022-11-04,Neurology,22,9,50,8,250,80,5,15,4,20,29.33
2022-11-04,Orthopedics,26,8,50,8,250,80,5,15,4,20,29.33
2022-11-04,Pediatrics,31,7,50,11,250,80,5,15,4,20,30.33
2022-11-04,Oncology,13,3,50,8,250,80,5,15,6,20,29.33
2022-11-05,Emergency,67,67,50,31,250,119,11,33,5,44,50.0
2022-11-05,Cardiology,32,13,50,8,250,80,5,16,4,21,29.33
2022-11-05,Neurology,28,9,50,13,250,80,5,15,4,20,31.0
2022-11-05,Orthopedics,32,5,50,11,250,80,5,16,6,21,30.33
2022-11-05,Pediatrics,39,8,50,14,250,80,6,19,4,25,31.33
2022-11-05,Oncology,16,3,50,9,250,80,5,15,5,20,29.67
2022-11-06,Emergency,74,74,50,30,250,140,12,37,4,49,56.67
2022-11-06,Cardiology,29,10,50,8,250,80,5,15,4,20,29.33
2022-11-06,Neurology,30,10,50,13,250,80,5,15,5,20,31.0
2022-11-06,Orthopedics,33,10,50,13,250,80,5,16,6,21,31.0
2022-11-06,Pediatrics,43,9,50,14,250,80,7,21,4,28,31.33
2022-11-06,Oncology,28,7,50,10,250,80,5,15,4,20,30.0
2022-11-07,Emergency,53,53,50,16,250,109,8,26,6,34,41.67
2022-11-07,Cardiology,23,9,50,11,250,80,5,15,4,20,30.33
2022-11-07,Neurology,23,7,50,9,250,80,5,15,6,20,29.67
2022-11-07,Orthopedics,21,8,50,11,250,80,5,15,6,20,30.33
2022-11-07,Pediatrics,30,7,50,14,250,80,5,15,4,20,31.33
2022-11-07,Oncology,11,4,50,8,250,80,5,15,4,20,29.33
2022-11-08,Emergency,67,67,50,28,250,141,11,33,4,44,56.33
2022-11-08,Cardiology,27,12,50,8,250,80,5,15,5,20,29.33
2022-11-08,Neurology,25,8,50,16,250,80,5,15,4,20,32.0
2022-11-08,Orthopedics,28,6,50,9,250,80,5,15,6,20,29.67
2022-11-08,Pediatrics,36,12,50,13,250,80,6,18,6,24,31.0
2022-11-08,Oncology,30,10,50,10,250,80,5,15,5,20,30.0
2022-11-09,Emergency,59,59,50,20,250,112,9,29,4,38,44.0
2022-11-09,Cardiology,34,12,50,11,250,80,5,17,6,22,30.33
2022-11-09,Neurology,25,7,50,8,250,80,5,15,5,20,29.33
2022-11-09,Orthopedics,14,2,50,8,250,80,5,15,4,20,29.33
2022-11-09,Pediatrics,30,7,50,12,250,80,5,15,5,20,30.67
2022-11-09,Oncology,9,2,50,8,250,80,5,15,4,20,29.33
2022-11-10,Emergency,65,65,50,21,250,122,10,32,5,42,47.67
2022-11-10,Cardiology,21,8,50,11,250,80,5,15,4,20,30.33
2022-11-10,Neurology,17,3,50,8,250,80,5,15,4,20,29.33
2022-11-10,Orthopedics,26,9,50,8,250,80,5,15,5,20,29.33
2022-11-10,Pediatrics,34,13,50,13,250,80,5,17,5,22,31.0
2022-11-10,Oncology,18,2,50,8,250,80,5,15,4,20,29.33
2022-11-11,Emergency,61,61,50,22,250,128,10,30,4,40,50.0
2022-11-11,Cardiology,26,6,50,12,250,80,5,15,4,20,30.67
2022-11-11,Neurology,16,4,50,8,250,80,5,15,4,20,29.33
2022-11-11,Orthopedics,22,9,50,8,250,80,5,15,6,20,29.33
2022-11-11,Pediatrics,41,14,50,14,250,80,6,20,6,26,31.33
2022-11-11,Oncology,12,2,50,8,250,80,5,15,6,20,29.33
2022-11-12,Emergency,70,70,50,25,250,127,11,35,6,46,50.67
2022-11-12,Cardiology,34,9,50,17,250,80,5,17,4,22,32.33
2022-11-12,Neurology,22,7,50,9,250,80,5,15,6,20,29.67
2022-11-12,Orthopedics,39,9,50,15,250,80,6,19,4,25,31.67
2022-11-12,Pediatrics,42,16,50,16,250,80,7,21,6,28,32.0
2022-11-12,Oncology,19,6,50,8,250,80,5,15,5,20,29.33
2022-11-13,Emergency,70,70,50,25,250,122,11,35,5,46,49.0
2022-11-13,Cardiology,32,12,50,10,250,80,5,16,4,21,30.0
2022-11-13,Neurology,28,6,50,13,250,80,5,15,5,20,31.0
2022-11-13,Orthopedics,34,8,50,8,250,80,5,17,5,22,29.33
2022-11-13,Pediatrics,36,8,50,15,250,80,6,18,6,24,31.67
2022-11-13,Oncology,20,4,50,12,250,80,5,15,4,20,30.67
2022-11-14,Emergency,61,61,50,23,250,108,10,30,5,40,43.67
2022-11-14,Cardiology,28,9,50,9,250,80,5,15,5,20,29.67
2022-11-14,Neurology,21,5,50,8,250,80,5,15,5,20,29.33
2022-11-14,Orthopedics,26,8,50,8,250,80,5,15,4,20,29.33
2022-11-14,Pediatrics,34,13,50,12,250,80,5,17,5,22,30.67
2022-11-14,Oncology,10,5,50,8,250,80,5,15,4,20,29.33
2022-11-15,Emergency,62,62,50,20,250,137,10,31,6,41,52.33
2022-11-15,Cardiology,28,9,50,8,250,80,5,15,4,20,29.33
2022-11-15,Neurology,21,3,50,8,250,80,5,15,6,20,29.33
2022-11-15,Orthopedics,24,7,50,12,250,80,5,15,5,20,30.67
2022-11-15,Pediatrics,31,10,50,12,250,80,5,15,5,20,30.67
2022-11-15,Oncology,17,7,50,8,250,80,5,15,6,20,29.33
2022-11-16,Emergency,61,61,50,23,250,126,10,30,4,40,49.67
2022-11-16,Cardiology,27,7,50,8,250,80,5,15,5,20,29.33
2022-11-16,Neurology,24,5,50,10,250,80,5,15,4,20,30.0
2022-11-16,Orthopedics,24,10,50,8,250,80,5,15,5,20,29.33
2022-11-16,Pediatrics,35,8,50,12,250,80,5,17,4,22,30.67
2022-11-16,Oncology,13,6,50,8,250,80,5,15,4,20,29.33
2022-11-17,Emergency,64,64,50,18,250,133,10,32,5,42,50.33
2022-11-17,Cardiology,30,7,50,10,250,80,5,15,4,20,30.0
2022-11-17,Neurology,21,8,50,8,250,80,5,15,4,20,29.33
2022-11-17,Orthopedics,27,3,50,15,250,80,5,15,5,20,31.67
2022-11-17,Pediatrics,35,10,50,8,250,80,5,17,6,22,29.33
2022-11-17,Oncology,17,4,50,8,250,80,5,15,4,20,29.33
2022-11-18,Emergency,66,66,50,19,250,154,11,33,4,44,57.67
2022-11-18,Cardiology,34,12,50,11,250,80,5,17,6,22,30.33
2022-11-18,Neurology,20,2,50,11,250,80,5,15,5,20,30.33
2022-11-18,Orthopedics,20,4,50,8,250,80,5,15,5,20,29.33
2022-11-18,Pediatrics,26,8,50,8,250,80,5,15,6,20,29.33
2022-11-18,Oncology,13,5,50,8,250,80,5,15,4,20,29.33
2022-11-19,Emergency,61,61,50,14,250,139,10,30,6,40,51.0
2022-11-19,Cardiology,36,9,50,11,250,80,6,18,6,24,30.33
2022-11-19,Neurology,27,8,50,9,250,80,5,15,4,20,29.67
2022-11-19,Orthopedics,34,8,50,13,250,80,5,17,4,22,31.0
2022-11-19,Pediatrics,41,15,50,13,250,91,6,20,6,26,34.67
2022-11-19,Oncology,21,6,50,13,250,80,5,15,5,20,31.0
2022-11-20,Emergency,71,71,50,29,250,134,11,35,4,46,54.33
2022-11-20,Cardiology,37,11,50,17,250,80,6,18,5,24,32.33
2022-11-20,Neurology,34,9,50,9,250,80,5,17,5,22,29.67
2022-11-20,Orthopedics,35,9,50,10,250,80,5,17,5,22,30.0
2022-11-20,Pediatrics,36,12,50,11,250,83,6,18,6,24,31.33
2022-11-20,Oncology,24,8,50,8,250,80,5,15,4,20,29.33
2022-11-21,Emergency,64,64,50,17,250,138,10,32,4,42,51.67
2022-11-21,Cardiology,31,10,50,8,250,80,5,15,5,20,29.33
2022-11-21,Neurology,24,6,50,11,250,80,5,15,4,20,30.33
2022-11-21,Orthopedics,27,8,50,8,250,80,5,15,5,20,29.33
2022-11-21,Pediatrics,38,11,50,14,250,80,6,19,4,25,31.33
2022-11-21,Oncology,22,9,50,8,250,80,5,15,5,20,29.33
2022-11-22,Emergency,60,60,50,20,250,123,10,30,5,40,47.67
2022-11-22,Cardiology,31,7,50,13,250,80,5,15,4,20,31.0
2022-11-22,Neurology,17,7,50,10,250,80,5,15,6,20,30.0
2022-11-22,Orthopedics,28,11,50,11,250,80,5,15,6,20,30.33
2022-11-22,Pediatrics,41,14,50,12,250,80,6,20,4,26,30.67
2022-11-22,Oncology,14,4,50,8,250,80,5,15,5,20,29.33
2022-11-23,Emergency,59,59,50,21,250,112,9,29,5,38,44.33
2022-11-23,Cardiology,23,6,50,10,250,80,5,15,4,20,30.0
2022-11-23,Neurology,18,3,50,8,250,80,5,15,6,20,29.33
2022-11-23,Orthopedics,23,7,50,12,250,80,5,15,4,20,30.67
2022-11-23,Pediatrics,27,8,50,15,250,80,5,15,4,20,31.67
2022-11-23,Oncology,14,4,50,8,250,80,5,15,6,20,29.33
2022-11-24,Emergency,64,64,50,26,250,126,10,32,4,42,50.67
2022-11-24,Cardiology,26,4,50,9,250,80,5,15,6,20,29.67
2022-11-24,Neurology,23,8,50,8,250,80,5,15,5,20,29.33
2022-11-24,Orthopedics,34,13,50,14,250,80,5,17,6,22,31.33
2022-11-24,Pediatrics,34,8,50,8,250,80,5,17,5,22,29.33
2022-11-24,Oncology,14,2,50,8,250,80,5,15,6,20,29.33
2022-11-25,Emergency,59,59,50,19,250,114,9,29,4,38,44.33
2022-11-25,Cardiology,32,5,50,8,250,80,5,16,6,21,29.33
2022-11-25,Neurology,22,7,50,8,250,80,5,15,6,20,29.33
2022-11-25,Orthopedics,24,10,50,8,250,80,5,15,6,20,29.33
2022-11-25,Pediatrics,44,12,50,17,250,94,7,22,4,29,37.0
2022-11-25,Oncology,17,5,50,8,250,80,5,15,5,20,29.33
2022-11-26,Emergency,73,73,50,31,250,158,12,36,4,48,63.0
2022-11-26,Cardiology,40,10,50,13,250,89,6,20,5,26,34.0
2022-11-26,Neurology,36,9,50,11,250,93,6,18,6,24,34.67
2022-11-26,Orthopedics,41,12,50,15,250,80,6,20,6,26,31.67
2022-11-26,Pediatrics,46,16,50,12,250,88,7,23,6,30,33.33
2022-11-26,Oncology,23,5,50,11,250,80,5,15,5,20,30.33
2022-11-27,Emergency,70,70,50,25,250,127,11,35,6,46,50.67
2022-11-27,Cardiology,37,11,50,10,250,80,6,18,4,24,30.0
2022-11-27,Neurology,26,8,50,8,250,80,5,15,6,20,29.33
2022-11-27,Orthopedics,36,7,50,12,250,88,6,18,5,24,33.33
2022-11-27,Pediatrics,49,11,50,18,250,88,8,24,4,32,35.33
2022-11-27,Oncology,23,9,50,9,250,80,5,15,4,20,29.67
2022-11-28,Emergency,67,67,50,16,250,126,11,33,5,44,47.33
2022-11-28,Cardiology,29,8,50,9,250,80,5,15,5,20,29.67
2022-11-28,Neurology,22,7,50,8,250,80,5,15,4,20,29.33
2022-11-28,Orthopedics,29,7,50,9,250,80,5,15,6,20,29.67
2022-11-28,Pediatrics,30,12,50,8,250,80,5,15,5,20,29.33
2022-11-28,Oncology,25,6,50,8,250,80,5,15,6,20,29.33
2022-11-29,Emergency,65,65,50,21,250,128,10,32,4,42,49.67
2022-11-29,Cardiology,29,8,50,13,250,80,5,15,4,20,31.0
2022-11-29,Neurology,21,7,50,8,250,80,5,15,5,20,29.33
2022-11-29,Orthopedics,21,5,50,11,250,80,5,15,6,20,30.33
2022-11-29,Pediatrics,40,10,50,17,250,80,6,20,5,26,32.33
2022-11-29,Oncology,17,6,50,8,250,80,5,15,6,20,29.33
2022-11-30,Emergency,68,68,50,28,250,130,11,34,6,45,52.67
2022-11-30,Cardiology,31,8,50,10,250,80,5,15,4,20,30.0
2022-11-30,Neurology,21,5,50,8,250,80,5,15,4,20,29.33
2022-11-30,Orthopedics,21,3,50,8,250,80,5,15,6,20,29.33
2022-11-30,Pediatrics,28,9,50,11,250,80,5,15,4,20,30.33
2022-11-30,Oncology,17,6,50,8,250,80,5,15,5,20,29.33
2022-12-01,Emergency,79,79,50,29,250,153,13,39,4,52,60.67
2022-12-01,Cardiology,48,14,50,21,250,107,8,24,4,32,42.67
2022-12-01,Neurology,37,10,50,8,250,80,6,18,6,24,29.33
2022-12-01,Orthopedics,42,12,50,16,250,97,7,21,5,28,37.67
2022-12-01,Pediatrics,49,19,50,17,250,84,8,24,5,32,33.67
2022-12-01,Oncology,30,10,50,8,250,80,5,15,6,20,29.33
2022-12-02,Emergency,79,79,50,26,250,166,13,39,5,52,64.0
2022-12-02,Cardiology,49,14,50,20,250,84,8,24,4,32,34.67
2022-12-02,Neurology,32,7,50,11,250,80,5,16,4,21,30.33
2022-12-02,Orthopedics,40,11,50,15,250,80,6,20,5,26,31.67
2022-12-02,Pediatrics,48,11,50,15,250,107,8,24,6,32,40.67
2022-12-02,Oncology,29,11,50,8,250,80,5,15,6,20,29.33
2022-12-03,Emergency,93,93,50,32,250,171,15,46,4,61,67.67
2022-12-03,Cardiology,54,15,50,21,250,115,9,27,5,36,45.33
2022-12-03,Neurology,51,13,50,18,250,90,8,25,6,33,36.0
2022-12-03,Orthopedics,50,15,50,17,250,97,8,25,4,33,38.0
2022-12-03,Pediatrics,54,17,50,23,250,102,9,27,5,36,41.67
2022-12-03,Oncology,42,12,50,10,250,80,7,21,6,28,30.0
2022-12-04,Emergency,85,85,50,23,250,184,14,42,4,56,69.0
2022-12-04,Cardiology,53,11,50,13,250,105,8,26,5,34,39.33
2022-12-04,Neurology,54,14,50,21,250,103,9,27,4,36,41.33
2022-12-04,Orthopedics,55,15,50,17,250,124,9,27,5,36,47.0
2022-12-04,Pediatrics,58,19,50,18,250,130,9,29,4,38,49.33
2022-12-04,Oncology,42,12,50,13,250,83,7,21,6,28,32.0
2022-12-05,Emergency,78,78,50,30,250,153,13,39,4,52,61.0
2022-12-05,Cardiology,38,7,50,15,250,80,6,19,4,25,31.67
2022-12-05,Neurology,39,11,50,13,250,82,6,19,4,25,31.67
2022-12-05,Orthopedics,31,8,50,12,250,80,5,15,6,20,30.67
2022-12-05,Pediatrics,57,14,50,18,250,98,9,28,6,37,38.67
2022-12-05,Oncology,36,11,50,13,250,85,6,18,6,24,32.67
2022-12-06,Emergency,85,85,50,33,250,174,14,42,5,56,69.0
2022-12-06,Cardiology,48,16,50,16,250,92,8,24,6,32,36.0
2022-12-06,Neurology,43,16,50,12,250,83,7,21,5,28,31.67
2022-12-06,Orthopedics,44,12,50,21,250,92,7,22,4,29,37.67
2022-12-06,Pediatrics,52,19,50,16,250,103,8,26,6,34,39.67
2022-12-06,Oncology,32,6,50,13,250,80,5,16,4,21,31.0
2022-12-07,Emergency,79,79,50,27,250,165,13,39,6,52,64.0
2022-12-07,Cardiology,46,15,50,10,250,98,7,23,6,30,36.0
2022-12-07,Neurology,32,9,50,8,250,80,5,16,6,21,29.33
2022-12-07,Orthopedics,36,11,50,11,250,80,6,18,6,24,30.33
2022-12-07,Pediatrics,53,11,50,15,250,100,8,26,5,34,38.33
2022-12-07,Oncology,38,13,50,12,250,80,6,19,4,25,30.67
2022-12-08,Emergency,82,82,50,33,250,176,13,41,5,54,69.67
2022-12-08,Cardiology,41,11,50,20,250,80,6,20,4,26,33.33
2022-12-08,Neurology,34,12,50,10,250,80,5,17,5,22,30.0
2022-12-08,Orthopedics,44,12,50,11,250,108,7,22,6,29,39.67
2022-12-08,Pediatrics,51,18,50,20,250,96,8,25,4,33,38.67
2022-12-08,Oncology,38,14,50,8,250,81,6,19,5,25,29.67
2022-12-09,Emergency,80,80,50,24,250,162,13,40,5,53,62.0
2022-12-09,Cardiology,44,11,50,13,250,87,7,22,4,29,33.33
2022-12-09,Neurology,35,13,50,13,250,87,5,17,6,22,33.33
2022-12-09,Orthopedics,41,15,50,12,250,80,6,20,5,26,30.67
2022-12-09,Pediatrics,54,13,50,21,250,113,9,27,5,36,44.67
2022-12-09,Oncology,36,13,50,12,250,80,6,18,6,24,30.67
2022-12-10,Emergency,97,97,50,29,250,179,16,48,6,64,69.33
2022-12-10,Cardiology,60,18,50,23,250,100,10,30,5,40,41.0
2022-12-10,Neurology,45,9,50,18,250,80,7,22,4,29,32.67
2022-12-10,Orthopedics,53,18,50,18,250,111,8,26,5,34,43.0
2022-12-10,Pediatrics,61,17,50,18,250,127,10,30,6,40,48.33
2022-12-10,Oncology,45,14,50,12,250,96,7,22,5,29,36.0
2022-12-11,Emergency,89,89,50,29,250,175,14,44,5,58,68.0
2022-12-11,Cardiology,58,14,50,17,250,112,9,29,5,38,43.0
2022-12-11,Neurology,54,18,50,13,250,121,9,27,6,36,44.67
2022-12-11,Orthopedics,46,8,50,15,250,103,7,23,6,30,39.33
2022-12-11,Pediatrics,65,17,50,28,250,107,10,32,6,42,45.0
2022-12-11,Oncology,39,14,50,17,250,87,6,19,6,25,34.67
2022-12-12,Emergency,76,76,50,29,250,157,12,38,4,50,62.0
2022-12-12,Cardiology,38,13,50,12,250,80,6,19,5,25,30.67
2022-12-12,Neurology,38,12,50,13,250,80,6,19,6,25,31.0
2022-12-12,Orthopedics,47,13,50,15,250,97,7,23,5,30,37.33
2022-12-12,Pediatrics,47,14,50,12,250,93,7,23,6,30,35.0
2022-12-12,Oncology,29,11,50,10,250,80,5,15,4,20,30.0
2022-12-13,Emergency,73,73,50,23,250,150,12,36,5,48,57.67
2022-12-13,Cardiology,38,11,50,14,250,88,6,19,6,25,34.0
2022-12-13,Neurology,37,6,50,9,250,80,6,18,4,24,29.67
2022-12-13,Orthopedics,33,9,50,15,250,80,5,16,5,21,31.67
2022-12-13,Pediatrics,55,13,50,14,250,124,9,27,4,36,46.0
2022-12-13,Oncology,34,7,50,12,250,80,5,17,5,22,30.67
2022-12-14,Emergency,86,86,50,38,250,176,14,43,4,57,71.33
2022-12-14,Cardiology,36,7,50,17,250,80,6,18,6,24,32.33
2022-12-14,Neurology,38,12,50,17,250,80,6,19,4,25,32.33
2022-12-14,Orthopedics,44,11,50,13,250,92,7,22,4,29,35.0
2022-12-14,Pediatrics,52,19,50,19,250,115,8,26,6,34,44.67
2022-12-14,Oncology,36,9,50,13,250,80,6,18,4,24,31.0
2022-12-15,Emergency,82,82,50,35,250,178,13,41,5,54,71.0
2022-12-15,Cardiology,50,18,50,13,250,113,8,25,5,33,42.0
2022-12-15,Neurology,36,9,50,14,250,84,6,18,6,24,32.67
2022-12-15,Orthopedics,42,12,50,14,250,92,7,21,6,28,35.33
2022-12-15,Pediatrics,65,20,50,20,250,117,10,32,5,42,45.67
2022-12-15,Oncology,30,9,50,11,250,80,5,15,6,20,30.33
2022-12-16,Emergency,90,90,50,29,250,178,15,45,4,60,69.0
2022-12-16,Cardiology,50,17,50,18,250,110,8,25,4,33,42.67
2022-12-16,Neurology,37,12,50,15,250,89,6,18,6,24,34.67
2022-12-16,Orthopedics,40,13,50,8,250,84,6,20,4,26,30.67
2022-12-16,Pediatrics,56,15,50,18,250,101,9,28,4,37,39.67
2022-12-16,Oncology,32,8,50,8,250,80,5,16,5,21,29.33
2022-12-17,Emergency,89,89,50,36,250,174,14,44,6,58,70.0
2022-12-17,Cardiology,53,14,50,13,250,90,8,26,5,34,34.33
2022-12-17,Neurology,43,13,50,18,250,80,7,21,5,28,32.67
2022-12-17,Orthopedics,47,13,50,19,250,89,7,23,4,30,36.0
2022-12-17,Pediatrics,60,20,50,22,250,112,10,30,5,40,44.67
2022-12-17,Oncology,39,12,50,15,250,80,6,19,4,25,31.67
2022-12-18,Emergency,91,91,50,31,250,187,15,45,4,60,72.67
2022-12-18,Cardiology,57,16,50,22,250,105,9,28,5,37,42.33
2022-12-18,Neurology,43,6,50,14,250,80,7,21,5,28,31.33
2022-12-18,Orthopedics,44,11,50,16,250,80,7,22,5,29,32.0
2022-12-18,Pediatrics,62,17,50,21,250,129,10,31,5,41,50.0
2022-12-18,Oncology,43,11,50,13,250,92,7,21,6,28,35.0
2022-12-19,Emergency,78,78,50,26,250,152,13,39,5,52,59.33
2022-12-19,Cardiology,43,9,50,16,250,95,7,21,5,28,37.0
2022-12-19,Neurology,33,10,50,14,250,80,5,16,4,21,31.33
2022-12-19,Orthopedics,41,12,50,15,250,82,6,20,6,26,32.33
2022-12-19,Pediatrics,52,13,50,19,250,108,8,26,6,34,42.33
2022-12-19,Oncology,35,13,50,10,250,82,5,17,4,22,30.67
2022-12-20,Emergency,80,80,50,31,250,172,13,40,6,53,67.67
2022-12-20,Cardiology,54,17,50,16,250,104,9,27,6,36,40.0
2022-12-20,Neurology,45,15,50,12,250,88,7,22,4,29,33.33
2022-12-20,Orthopedics,43,17,50,15,250,85,7,21,4,28,33.33
2022-12-20,Pediatrics,57,16,50,22,250,97,9,28,6,37,39.67
2022-12-20,Oncology,39,14,50,11,250,80,6,19,4,25,30.33
2022-12-21,Emergency,85,85,50,27,250,167,14,42,5,56,64.67
2022-12-21,Cardiology,46,9,50,12,250,92,7,23,5,30,34.67
2022-12-21,Neurology,33,9,50,8,250,82,5,16,6,21,30.0
2022-12-21,Orthopedics,41,12,50,11,250,80,6,20,6,26,30.33
2022-12-21,Pediatrics,60,17,50,20,250,110,10,30,5,40,43.33
2022-12-21,Oncology,22,5,50,8,250,80,5,15,6,20,29.33
2022-12-22,Emergency,86,86,50,33,250,157,14,43,4,57,63.33
2022-12-22,Cardiology,42,15,50,15,250,80,7,21,6,28,31.67
2022-12-22,Neurology,39,11,50,14,250,80,6,19,6,25,31.33
2022-12-22,Orthopedics,42,10,50,12,250,80,7,21,5,28,30.67
2022-12-22,Pediatrics,51,16,50,18,250,121,8,25,5,33,46.33
2022-12-22,Oncology,37,11,50,15,250,81,6,18,5,24,32.0
2022-12-23,Emergency,82,82,50,29,250,156,13,41,6,54,61.67
2022-12-23,Cardiology,41,13,50,14,250,80,6,20,6,26,31.33
2022-12-23,Neurology,40,11,50,17,250,112,6,20,4,26,43.0
2022-12-23,Orthopedics,43,14,50,17,250,80,7,21,6,28,32.33
2022-12-23,Pediatrics,48,14,50,19,250,80,8,24,6,32,33.0
2022-12-23,Oncology,37,11,50,17,250,80,6,18,4,24,32.33
2022-12-24,Emergency,101,101,50,30,250,181,16,50,6,66,70.33
2022-12-24,Cardiology,52,15,50,17,250,102,8,26,5,34,39.67
2022-12-24,Neurology,46,14,50,15,250,103,7,23,6,30,39.33
2022-12-24,Orthopedics,49,11,50,16,250,85,8,24,4,32,33.67
2022-12-24,Pediatrics,56,17,50,14,250,126,9,28,4,37,46.67
2022-12-24,Oncology,43,10,50,17,250,85,7,21,5,28,34.0
2022-12-25,Emergency,89,89,50,31,250,161,14,44,6,58,64.0
2022-12-25,Cardiology,52,16,50,18,250,114,8,26,6,34,44.0
2022-12-25,Neurology,46,14,50,15,250,82,7,23,6,30,32.33
2022-12-25,Orthopedics,53,14,50,18,250,104,8,26,6,34,40.67
2022-12-25,Pediatrics,61,17,50,17,250,122,10,30,6,40,46.33
2022-12-25,Oncology,39,11,50,15,250,80,6,19,6,25,31.67
2022-12-26,Emergency,81,81,50,26,250,168,13,40,4,53,64.67
2022-12-26,Cardiology,52,11,50,13,250,98,8,26,5,34,37.0
2022-12-26,Neurology,50,18,50,19,250,103,8,25,6,33,40.67
2022-12-26,Orthopedics,46,12,50,13,250,93,7,23,5,30,35.33
2022-12-26,Pediatrics,52,17,50,12,250,104,8,26,6,34,38.67
2022-12-26,Oncology,34,10,50,8,250,80,5,17,6,22,29.33
2022-12-27,Emergency,83,83,50,27,250,161,13,41,6,54,62.67
2022-12-27,Cardiology,46,13,50,15,250,85,7,23,6,30,33.33
2022-12-27,Neurology,48,15,50,15,250,97,8,24,5,32,37.33
2022-12-27,Orthopedics,44,12,50,11,250,91,7,22,6,29,34.0
2022-12-27,Pediatrics,52,14,50,16,250,133,8,26,5,34,49.67
2022-12-27,Oncology,27,4,50,11,250,80,5,15,6,20,30.33
2022-12-28,Emergency,81,81,50,32,250,169,13,40,6,53,67.0
2022-12-28,Cardiology,48,14,50,19,250,99,8,24,5,32,39.33
2022-12-28,Neurology,39,11,50,19,250,80,6,19,4,25,33.0
2022-12-28,Orthopedics,48,14,50,17,250,104,8,24,5,32,40.33
2022-12-28,Pediatrics,57,17,50,17,250,117,9,28,5,37,44.67
2022-12-28,Oncology,35,15,50,8,250,80,5,17,5,22,29.33
2022-12-29,Emergency,81,81,50,28,250,187,13,40,6,53,71.67
2022-12-29,Cardiology,46,13,50,13,250,100,7,23,6,30,37.67
2022-12-29,Neurology,40,13,50,10,250,80,6,20,4,26,30.0
2022-12-29,Orthopedics,40,15,50,9,250,80,6,20,4,26,29.67
2022-12-29,Pediatrics,56,15,50,15,250,132,9,28,4,37,49.0
2022-12-29,Oncology,35,10,50,14,250,80,5,17,6,22,31.33
2022-12-30,Emergency,81,81,50,27,250,159,13,40,4,53,62.0
2022-12-30,Cardiology,45,17,50,13,250,89,7,22,6,29,34.0
2022-12-30,Neurology,38,8,50,10,250,80,6,19,6,25,30.0
2022-12-30,Orthopedics,42,13,50,12,250,80,7,21,6,28,30.67
2022-12-30,Pediatrics,53,17,50,19,250,105,8,26,5,34,41.33
2022-12-30,Oncology,32,7,50,15,250,80,5,16,4,21,31.67
2022-12-31,Emergency,89,89,50,29,250,169,14,44,5,58,66.0
2022-12-31,Cardiology,59,17,50,26,250,130,9,29,4,38,52.0
2022-12-31,Neurology,56,18,50,18,250,117,9,28,6,37,45.0
2022-12-31,Orthopedics,61,19,50,22,250,123,10,30,6,40,48.33
2022-12-31,Pediatrics,69,17,50,29,250,136,11,34,6,45,55.0
2022-12-31,Oncology,41,8,50,16,250,80,6,20,5,26,32.0
2023-01-01,Emergency,93,93,50,35,250,179,15,46,6,61,71.33
2023-01-01,Cardiology,52,14,50,25,250,111,8,26,6,34,45.33
2023-01-01,Neurology,50,13,50,17,250,101,8,25,5,33,39.33
2023-01-01,Orthopedics,57,15,50,17,250,117,9,28,4,37,44.67
2023-01-01,Pediatrics,58,18,50,20,250,97,9,29,6,38,39.0
2023-01-01,Oncology,38,12,50,12,250,94,6,19,6,25,35.33
2023-01-02,Emergency,89,89,50,27,250,157,14,44,6,58,61.33
2023-01-02,Cardiology,45,17,50,15,250,99,7,22,5,29,38.0
2023-01-02,Neurology,42,12,50,14,250,95,7,21,5,28,36.33
2023-01-02,Orthopedics,43,16,50,14,250,81,7,21,6,28,31.67
2023-01-02,Pediatrics,44,14,50,15,250,88,7,22,6,29,34.33
2023-01-02,Oncology,35,9,50,13,250,80,5,17,5,22,31.0
2023-01-03,Emergency,84,84,50,32,250,167,14,42,6,56,66.33
2023-01-03,Cardiology,51,12,50,18,250,86,8,25,4,33,34.67
2023-01-03,Neurology,39,7,50,13,250,94,6,19,5,25,35.67
2023-01-03,Orthopedics,50,19,50,18,250,92,8,25,4,33,36.67
2023-01-03,Pediatrics,53,15,50,16,250,100,8,26,5,34,38.67
2023-01-03,Oncology,41,9,50,11,250,80,6,20,6,26,30.33
2023-01-04,Emergency,88,88,50,34,250,203,14,44,6,58,79.0
2023-01-04,Cardiology,49,15,50,15,250,96,8,24,5,32,37.0
2023-01-04,Neurology,42,7,50,15,250,82,7,21,5,28,32.33
2023-01-04,Orthopedics,47,11,50,15,250,80,7,23,6,30,31.67
2023-01-04,Pediatrics,50,16,50,16,250,109,8,25,6,33,41.67
2023-01-04,Oncology,36,9,50,15,250,80,6,18,5,24,31.67
2023-01-05,Emergency,88,88,50,35,250,172,14,44,6,58,69.0
2023-01-05,Cardiology,46,11,50,18,250,80,7,23,4,30,32.67
2023-01-05,Neurology,46,14,50,19,250,91,7,23,4,30,36.67
2023-01-05,Orthopedics,49,13,50,15,250,102,8,24,5,32,39.0
2023-01-05,Pediatrics,55,15,50,19,250,125,9,27,4,36,48.0
